#{"t_start": 1763544255.1246347, "env_id": "None"}
r,l,t
-19.9438,350,273.737024
83.71884,177,273.81473
130.1299,112,273.855214
-110.37788,501,273.921945
-1409.481,533,274.069329
120.3893,45,274.06938
175.33232,42,274.079177
-439.69327,170,274.118686
164.17729,41,274.15903
157.35655,63,274.461298
-384.85742,64,274.754605
183.03636,46,274.951729
-1102.7988,1600,274.975657
-200.5528,623,275.127596
178.53181,102,275.239842
102.74351,126,275.391372
16.26371,154,275.492724
185.78853,32,275.795033
34.0712,248,275.834529
57.65906,93,275.874889
-633.25586,373,276.042052
-16.629126,267,276.061704
113.24336,74,276.110417
-588.42816,218,279.111689
172.2448,108,279.133685
-428.22473,58,279.19936
100.41313,154,279.319082
185.2043,40,279.32797
155.17169,50,279.548599
85.502464,80,279.613836
139.28052,82,279.613891
140.84377,56,279.66952
-1274.5525,1600,279.896919
-28.144308,326,280.066989
145.56969,64,280.143169
39.694763,101,280.458616
-748.1905,191,280.754573
2.7277193,264,281.026587
172.57205,34,281.059736
85.33671,209,281.096204
-271.4532,398,281.194618
59.36011,195,281.333633
115.02377,42,281.408849
-2341.8372,1600,281.666306
148.49344,43,281.994494
105.44918,164,282.480526
-64.73706,315,282.480579
-624.5251,417,282.739134
-406.5405,650,283.527812
89.72922,145,283.697296
-5.9510536,278,284.277615
70.61166,110,285.599651
-119.925835,657,286.755584
-975.2002,625,287.614007
-297.1989,777,287.654528
-178.8308,496,288.045456
180.3376,32,288.298
108.30137,85,288.372038
182.271,36,288.597327
170.0827,32,288.63204
-569.7986,387,288.660235
109.80486,73,289.211291
147.76492,70,289.220782
177.90727,29,289.458287
211.93385,29,289.685381
-1400.0249,1600,289.754389
-109.07557,312,290.197463
-350.99625,1091,291.118253
34.987133,249,291.199676
144.32812,127,291.228575
-2023.422,1600,291.323704
58.271576,199,291.338309
105.055695,70,291.918549
115.356384,143,292.369225
111.995384,155,292.488305
-438.9237,1198,292.524797
-0.24121478,227,293.165154
-2590.063,1600,293.611778
-2580.7412,1600,294.418087
