#{"t_start": 1759747852.2866573, "env_id": "None"}
r,l,t
-117211.79,200,134.107838
-112782.17,200,134.263887
-110454.484,200,134.407955
-108448.91,200,134.540301
-111327.41,200,134.672528
-108555.664,200,134.816733
-106722.945,200,135.571748
-112813.85,200,135.702331
-111828.06,200,135.826859
-115057.195,200,135.957303
-114574.95,200,136.081861
-112973.09,200,136.215631
-111839.125,200,136.339919
-112117.68,200,136.471168
-105175.84,200,136.600604
-112395.5,200,136.732432
-109623.95,200,137.493213
-109295.414,200,137.617376
-110651.164,200,137.742952
-113448.67,200,137.865495
-108693.58,200,137.98931
-108087.44,200,138.111977
-114204.21,200,138.237129
-109274.55,200,138.361523
-109055.4,200,138.484775
-106459.16,200,138.606571
-108300.914,200,139.310665
-106257.664,200,139.434468
-112826.37,200,139.558109
-108197.36,200,139.683581
-108590.78,200,139.809162
-106333.62,200,139.935551
-108793.34,200,140.063911
-108515.28,200,140.188917
-112957.91,200,140.313184
-114372.05,200,140.438148
-113491.0,200,141.228273
-108069.78,200,141.396146
-106347.18,200,141.535583
-109107.24,200,141.65913
-110097.266,200,141.783101
-114517.516,200,141.911612
-110812.81,200,142.044562
-107884.79,200,142.831766
-112502.69,200,143.034934
-108036.99,200,143.169498
-106841.85,200,143.305768
-109733.164,200,144.368369
-110581.83,200,144.621247
-109423.766,200,144.766157
-110855.8,200,144.909738
-111273.97,200,145.053605
-110274.53,200,145.208518
-108314.875,200,145.424161
-107659.89,200,145.572281
-111508.35,200,145.74743
-115308.11,200,145.933385
-106309.09,200,146.956296
-110708.12,200,147.111654
-109843.914,200,147.265327
-109070.76,200,147.413483
-107694.086,200,147.557043
-106505.34,200,147.695909
-110276.516,200,147.836735
-109037.27,200,147.983033
-111384.01,200,148.122367
-108770.01,200,148.256571
-110450.39,200,149.272304
-117384.75,200,149.410238
-115674.195,200,149.548293
-104646.88,200,149.695809
-107863.41,200,149.840684
-110015.9,200,150.004937
-105419.29,200,150.161561
-109112.39,200,150.30749
-109846.125,200,150.453131
-111063.984,200,150.618212
-108124.66,200,151.745249
-105706.23,200,151.879908
-106930.234,200,152.016488
-109019.71,200,152.169852
-107732.89,200,152.336168
-106529.24,200,152.488915
-107458.44,200,152.653795
-108138.78,200,152.834909
-111416.195,200,152.983235
-106291.85,200,153.127326
-105331.99,200,153.262469
-111174.78,200,154.130576
-113451.14,200,154.271672
-110497.36,200,154.469996
-106477.89,200,154.709708
-112047.95,200,154.866278
-108776.35,200,155.603734
-105164.81,200,155.73886
-111222.34,200,155.915273
-103058.23,200,156.103497
-102884.1,200,156.241227
-109581.93,200,157.147643
-109069.21,200,157.292116
-107149.734,200,157.434619
-111609.19,200,157.574169
-108543.414,200,157.712766
-108435.91,200,157.846718
-106751.125,200,157.982304
-107562.69,200,158.141782
-113025.39,200,158.34471
-108271.53,200,158.516633
-109517.07,200,159.524164
-107131.76,200,159.682955
-109571.234,200,159.892829
-108003.47,200,160.063221
-107321.266,200,160.206911
-107512.54,200,160.349788
-112194.24,200,160.508154
-101344.95,200,160.650863
-107767.25,200,160.78793
-112070.82,200,160.930732
-104373.48,200,162.012409
-112020.664,200,162.165228
-109085.08,200,162.317278
-108749.03,200,162.464116
-109019.33,200,162.601978
-109108.59,200,162.739816
-108556.28,200,162.922982
-105073.35,200,163.071858
-103963.62,200,163.213175
-104615.18,200,163.347812
-103326.89,200,163.483135
-107104.91,200,164.69638
-111068.15,200,164.875468
-111793.03,200,165.021641
-116207.27,200,165.199827
-109936.02,200,165.356611
-103032.93,200,165.53183
-103586.58,200,165.703177
-111063.33,200,165.841061
-107114.72,200,166.042435
-108816.72,200,166.195323
-107838.88,200,167.2764
-113530.29,200,167.454348
-106817.96,200,167.594291
-103552.29,200,167.727726
-109301.836,200,168.355138
-110325.445,200,168.492925
-105671.4,200,168.629086
-106814.75,200,168.762547
-107253.92,200,168.90724
-106118.016,200,169.132309
-106961.13,200,170.135831
-113159.44,200,170.278305
-107349.08,200,170.411947
-101356.84,200,170.546641
-107331.07,200,170.681665
-109826.78,200,170.816476
-103336.9,200,170.951904
-110837.22,200,171.095931
-108209.7,200,171.254033
-108647.25,200,171.39947
-102723.195,200,172.523847
-103305.96,200,172.664721
-107389.05,200,172.804004
-110373.78,200,172.9448
-105782.266,200,173.084184
-106197.44,200,173.2232
-106209.79,200,173.36594
-106197.42,200,173.51401
-105342.4,200,173.661429
-100359.71,200,173.795365
-110507.914,200,173.939961
-109200.234,200,175.135728
-103885.63,200,175.285262
-109003.52,200,175.422887
-106698.35,200,175.558453
-106159.6,200,175.695022
-108998.88,200,175.838222
-107013.02,200,176.038977
-109014.61,200,176.195797
-105789.734,200,176.378368
-110242.58,200,176.527751
-109594.67,200,177.435708
-109294.4,200,177.585449
-107398.484,200,177.724807
-110039.39,200,177.857501
-107443.64,200,177.992348
-107576.95,200,178.171444
-102591.086,200,178.357873
-109777.97,200,178.495249
-110486.48,200,178.628525
-108440.43,200,178.768175
-109685.164,200,179.637818
-111559.195,200,179.770781
-111136.71,200,179.906049
-109514.94,200,180.581913
-105629.89,200,180.721743
-109652.0,200,180.864911
-111451.92,200,181.015796
-102035.03,200,181.164902
-103097.76,200,181.306582
-104891.97,200,181.440175
-108481.06,200,182.342259
-103565.695,200,182.480901
-108410.58,200,182.614045
-107576.625,200,182.747191
-107914.164,200,182.88087
-104934.25,200,183.0161
-104021.78,200,183.14957
-107366.22,200,183.283217
-106226.664,200,183.42071
-104190.98,200,183.561391
-106105.766,200,183.695315
-106103.55,200,184.594799
-108130.33,200,184.736537
